State,Week_Ending,"Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026"
,,Location,Weekly Average,Weekly Change,Variation,Weekly low,Weekly high
National,"Week ending Sunday, 5th April  2026",National Average,312.7,2.7,+2.4,307.1,322.9
National,"Week ending Sunday, 5th April  2026",Total Metropolitan Average,310.3,1.7,-,303.8,322.0
National,"Week ending Sunday, 5th April  2026",5 Capital City Average,310.0,1.5,-0.3,303.2,322.3
National,"Week ending Sunday, 5th April  2026",Total Regional Average,314.6,3.6,+4.3,309.8,323.7
NSW ACT,"Week ending Sunday, 5th April  2026",NSW State Average,314.1,2.7,+3.4,309.3,323.3
NSW ACT,"Week ending Sunday, 5th April  2026",Sydney,310.6,1.6,-,304.8,321.7
NSW ACT,"Week ending Sunday, 5th April  2026",Canberra,308.5,-0.6,-2.2,301.2,320.9
NSW ACT,"Week ending Sunday, 5th April  2026",NSW Regional Average,316.2,3.5,+5.6,312.1,324.4
Victoria,"Week ending Sunday, 5th April  2026",Victorian State Average,312.4,3.5,+0.5,305.6,323.5
Victoria,"Week ending Sunday, 5th April  2026",Melbourne,311.8,2.8,-,303.8,324.5
Victoria,"Week ending Sunday, 5th April  2026",Victorian Regional Average,313.0,4.3,+1.2,307.8,322.2
South Australia,"Week ending Sunday, 5th April  2026",South Australian State Average,313.1,1.8,+4.3,306.1,325.5
South Australia,"Week ending Sunday, 5th April  2026",Adelaide,308.8,-0.1,-,300.1,324.4
South Australia,"Week ending Sunday, 5th April  2026",South Australian Regional Average,313.1,1.8,+4.3,306.1,325.5
Tasmania,"Week ending Sunday, 5th April  2026",Tasmanian State Average,309.7,-0.8,+3.6,302.9,322.0
Tasmania,"Week ending Sunday, 5th April  2026",Hobart,306.1,-1.7,-,298.7,319.1
Tasmania,"Week ending Sunday, 5th April  2026",Tasmanian Regional Average,311.5,-0.3,+5.4,304.9,323.4
Northern Territory,"Week ending Sunday, 5th April  2026",Northern Territory State Average,312.5,5.8,+3.0,307.9,319.2
Northern Territory,"Week ending Sunday, 5th April  2026",Darwin,309.5,1.6,-,302.3,322.3
Northern Territory,"Week ending Sunday, 5th April  2026",Northern Territory Regional Average,317.2,12.2,+7.7,312.2,322.2
